Stadt;Stadtbezirk;Anzahl_Spielplätze;Spielplätze_pro_100;Index_Spielplätze;Anzahl_Kinderärzte;Kinderärzte_pro_100;Index_Kinderärzte;Grundschule_plätze;Grundschulen_pro_100;Index_Grundschule;Kita_Plätze;Kitas_pro_100;Index_Kitas;gesamt_Einwohner;0-6;%0-6;6 bis 10;% 6 bis 10;0-10;%0-10;Index_%0-10;Index_gesamt;AVG
Kaiserslautern;Betzenberg;8;1,72;2,09;2;0,43;4,58;156;73,58;2,22;181;71,83;2,75;5096;252;4,95;212;4,16;464;9,11;2,93;2,89;2,98
Kaiserslautern;Bännjerrück/Karl-Pfaff-S.;13;3,86;3,94;0;0;1;370;262,41;5;150;76,53;2,87;5050;196;3,88;141;2,79;337;6,67;1,66;2,89;3,19
Kaiserslautern;Dansenberg;7;3,26;3,42;0;0;1;90;111,11;2,53;97;72,39;2,77;2428;134;5,52;81;3,34;215;8,86;2,8;2,54;2,46
Kaiserslautern;Einsiedlerhof;5;4,67;4,64;0;0;1;0;0;1;70;116,67;3,85;1315;60;4,56;47;3,57;107;8,14;2,42;2,58;2,61
Kaiserslautern;Erfenbach;2;0,81;1,3;0;0;1;141;122,61;3,07;108;81,2;2,98;2746;133;4,84;115;4,19;248;9,03;2,89;2,21;2,03
Kaiserslautern;Erlenbach;2;1,08;1,54;0;0;1;61;79,22;2,2;48;44,44;2,09;2214;108;4,88;77;3,48;185;8,36;2,54;1,88;1,7
Kaiserslautern;Erzhütten/Wiesenthalerhof;1;0,49;1,03;0;0;1;86;85,12;2,53;86;82,69;3,02;2558;104;4,07;101;3,95;205;8,01;2,36;1,94;1,83
Kaiserslautern;Grübentälchen/Volkspark;14;1,62;2,01;0;0;1;74;20,05;1,31;490;99,39;3,43;9993;493;4,93;369;3,69;862;8,63;2,68;2,08;1,92
Kaiserslautern;Hohenecken;13;4,42;4,42;0;0;1;154;128,33;2,91;124;71,26;2,74;3562;174;4,88;120;3,37;294;8,25;2,48;2,72;2,77
Kaiserslautern;Innenstadt-Nord/Kaiserberg;19;3,01;3,21;0;0;1;210;80,46;2,21;0;0;1;8910;370;4,15;261;2,93;631;7,08;1,87;1,86;1,86
Kaiserslautern;Innenstadt-Ost;4;0,46;1;2;0,23;2,92;683;189,72;3,84;472;91,47;3,23;11442;516;4,51;360;3,15;876;7,66;2,17;2,64;2,8
Kaiserslautern;Innenstadt-Südwest;3;0,47;1,01;1;0,16;2,33;230;97,46;2,32;192;48,24;2,18;8769;398;4,54;236;2,69;634;7,23;1,95;1,99;1,66
Kaiserslautern;Innenstadt-West/Kotten;14;1,44;1,85;0;0;1;220;57,29;1,82;0;0;1;11267;591;5,25;384;3,41;975;8,65;2,69;1,68;1,43
Kaiserslautern;Kaiserslautern-West;11;1,21;1,65;0;0;1;130;32,75;1,52;0;0;1;8565;509;5,94;397;4,64;906;10,58;3,69;1,77;1,29
Kaiserslautern;Lämmchesberg/Uniwohnstadt;29;5,09;5;1;0,18;2,5;284;120,34;2,82;547;163,77;5;10559;334;3,16;236;2,24;570;5,4;1;3,27;3,88
Kaiserslautern;Morlautern;6;2,41;2,69;0;0;1;90;79,56;2,32;120;88,24;3,16;2886;136;4,71;113;3,92;249;8,63;2,68;2,35;2,25
Kaiserslautern;Mölschbach;2;2,04;2,37;0;0;1;0;0;1;53;85,48;3,09;1170;62;5,3;36;3,08;98;8,38;2,55;2;1,85
Kaiserslautern;Siegelbach;7;2,09;2,41;0;0;1;58;38,16;1,63;100;54,64;2,33;3067;183;5,97;152;4,96;335;10,92;3,87;2,24;1,82
Mannheim;Feudenheim;16;1,21;1,65;1;0,08;1,67;460;90,02;2,27;317;39,33;1,96;14067;806;5,73;511;3,63;1317;9,36;3,06;2,14;2,19
Mannheim;Friedrichsfeld;8;1,46;1,86;0;0;1;208;99,05;2,38;168;49,56;2,21;5583;339;6,07;210;3,76;549;9,83;3,3;2,18;2,36
Mannheim;Innenstadt/Jungbusch;14;0,73;1,24;4;0,21;2,75;724;112,42;2,38;749;59,3;2,45;31011;1263;4,07;644;2,08;1907;6,15;1,39;2,11;2,83
Mannheim;Käfertal;51;1,15;1,6;2;0,04;1,33;1651;107,63;2,35;986;33,84;1,83;33957;2914;8,58;1534;4,52;4448;13,1;5;2,48;2,14
Mannheim;Lindenhof;10;0,86;1,34;2;0,17;2,42;366;98,39;2,14;346;43,41;2,06;13724;797;5,81;372;2,71;1169;8,52;2,62;2,19;2,4
Mannheim;Neckarau;35;1,29;1,72;4;0,15;2,25;825;81,12;2,11;608;35,98;1,88;30599;1690;5,52;1017;3,32;2707;8,85;2,79;2,18;2,23
Mannheim;Neckarstadt-Ost;30;1,61;1,41;7;0,22;2,83;561;24,09;1,63;1035;51,57;2,26;35171;2007;5,71;1234;3,51;3241;9,21;2,98;2,23;3,19
Mannheim;Neckarstadt-West;14;0,43;1,25;0;0;1;1310;138,25;3,56;641;54,32;2,33;19939;1180;5,92;685;3,44;1865;9,35;3,05;2,31;2,05
Mannheim;Neuostheim/Neuhermsheim;10;1,45;1,86;0;0;1;253;93,7;2,34;358;85,65;3,09;7232;418;5,78;270;3,73;688;9,51;3,14;2,3;2,92
Mannheim;Rheinau;27;1,08;1,54;2;0,08;1,67;875;91,24;2,28;633;41,26;2,01;25317;1534;6,06;959;3,79;2493;9,85;3,31;2,18;2,19
Mannheim;Sandhofen;13;0,99;1,46;1;0,08;1,67;414;78,26;2,15;228;28,93;1,71;14107;788;5,59;529;3,75;1317;9,34;3,05;2,02;1,83
Mannheim;Schönau;32;2,26;2,55;0;0;1;536;97,99;2,38;497;57,06;2,39;12682;871;6,87;547;4,31;1418;11,18;4;2,49;2,75
Mannheim;Schwetzingerstadt/Oststadt;29;1,73;2,1;8;0,48;5;481;87,93;2,05;569;50,49;2,23;23548;1127;4,79;547;2,32;1674;7,11;1,89;2,71;3,37
Mannheim;Seckenheim;20;1,16;1,61;2;0,12;2;458;67,35;1,97;470;45,15;2,1;15940;1041;6,53;680;4,27;1721;10,8;3,81;2,31;2,15
Mannheim;Vogelstang;31;2,37;2,65;1;0,08;1,67;434;89,48;2,21;401;48,67;2,19;12601;824;6,54;485;3,85;1309;10,39;3,59;2,49;2,73
Mannheim;Waldhof;30;1,03;1,5;1;0,03;1,25;613;56,08;1,77;697;38,79;1,95;25423;1797;7,07;1093;4,3;2890;11,37;4,1;2,13;1,71
Mannheim;Wallhof;23;3,38;3,53;2;0,29;3,42;254;95,13;2,36;231;55,93;2,37;7746;413;5,33;267;3,45;680;8,78;2,76;2,9;3,69
Mannheim;Gesamt;24,88;1,42;;;;;;;;;;;;;;;;;;;;2,513529412
Kaiserslautern;Gesamt;8,89;2,23;;;;;;;;;;;;;;;;;;;;2,240555556
